B23025_005E,metropolitan statistical area/micropolitan statistical area,year,variable
831,15100,2011,B23025_005E
1218,15140,2011,B23025_005E
12322,15180,2011,B23025_005E
553,15220,2011,B23025_005E
4995,15260,2011,B23025_005E
2200,15340,2011,B23025_005E
46164,15380,2011,B23025_005E
1605,15420,2011,B23025_005E
1904,15460,2011,B23025_005E
6700,15500,2011,B23025_005E
6999,15540,2011,B23025_005E
892,15580,2011,B23025_005E
3073,15620,2011,B23025_005E
2389,15660,2011,B23025_005E
2084,15700,2011,B23025_005E
1777,15740,2011,B23025_005E
1723,15780,2011,B23025_005E
1160,15820,2011,B23025_005E
1214,15860,2011,B23025_005E
1337,15900,2011,B23025_005E
19621,15940,2011,B23025_005E
33994,15980,2011,B23025_005E
3456,16020,2011,B23025_005E
2706,16060,2011,B23025_005E
1924,16100,2011,B23025_005E
4439,16180,2011,B23025_005E
2089,16220,2011,B23025_005E
2387,16260,2011,B23025_005E
7026,16300,2011,B23025_005E
2135,16340,2011,B23025_005E
1437,16380,2011,B23025_005E
1001,16420,2011,B23025_005E
2041,16460,2011,B23025_005E
4035,16500,2011,B23025_005E
4837,16540,2011,B23025_005E
8903,16580,2011,B23025_005E
9805,16620,2011,B23025_005E
3769,16660,2011,B23025_005E
30612,16700,2011,B23025_005E
93003,16740,2011,B23025_005E
5003,16820,2011,B23025_005E
25939,16860,2011,B23025_005E
2364,16900,2011,B23025_005E
2248,16940,2011,B23025_005E
486873,16980,2011,B23025_005E
13399,17020,2011,B23025_005E
4840,17060,2011,B23025_005E
88952,17140,2011,B23025_005E
1331,17200,2011,B23025_005E
3026,17220,2011,B23025_005E
1678,17260,2011,B23025_005E
12072,17300,2011,B23025_005E
3792,17340,2011,B23025_005E
2532,17380,2011,B23025_005E
5688,17420,2011,B23025_005E
106613,17460,2011,B23025_005E
2902,17500,2011,B23025_005E
1831,17540,2011,B23025_005E
1293,17580,2011,B23025_005E
4459,17620,2011,B23025_005E
5757,17660,2011,B23025_005E
1823,17700,2011,B23025_005E
2396,17740,2011,B23025_005E
7800,17780,2011,B23025_005E
26364,17820,2011,B23025_005E
5819,17860,2011,B23025_005E
35135,17900,2011,B23025_005E
3193,17940,2011,B23025_005E
13518,17980,2011,B23025_005E
7506,18880,2011,B23025_005E
2165,18900,2011,B23025_005E
2274,18940,2011,B23025_005E
3218,18980,2011,B23025_005E
2746,18020,2011,B23025_005E
3621,18060,2011,B23025_005E
836,18100,2011,B23025_005E
74779,18140,2011,B23025_005E
4767,18180,2011,B23025_005E
1485,18220,2011,B23025_005E
3969,18260,2011,B23025_005E
3173,18300,2011,B23025_005E
1418,18340,2011,B23025_005E
1167,18380,2011,B23025_005E
1583,18420,2011,B23025_005E
1541,18460,2011,B23025_005E
4222,18500,2011,B23025_005E
15956,18580,2011,B23025_005E
1925,18620,2011,B23025_005E
1865,18660,2011,B23025_005E
3210,18700,2011,B23025_005E
1909,18740,2011,B23025_005E
1546,18820,2011,B23025_005E
1054,18860,2011,B23025_005E
1473,19020,2011,B23025_005E
3825,19060,2011,B23025_005E
246179,19100,2011,B23025_005E
7266,19140,2011,B23025_005E
4198,19180,2011,B23025_005E
2257,19220,2011,B23025_005E
5827,19260,2011,B23025_005E
6631,19300,2011,B23025_005E
12674,19340,2011,B23025_005E
39607,19380,2011,B23025_005E
7253,19460,2011,B23025_005E
4771,19500,2011,B23025_005E
1453,19540,2011,B23025_005E
2006,19580,2011,B23025_005E
1830,19620,2011,B23025_005E
21464,19660,2011,B23025_005E
1353,19700,2011,B23025_005E
106156,19740,2011,B23025_005E
1180,19760,2011,B23025_005E
17388,19780,2011,B23025_005E
291498,19820,2011,B23025_005E
418,19860,2011,B23025_005E
1856,19900,2011,B23025_005E
1655,19940,2011,B23025_005E
845,19980,2011,B23025_005E
5986,20740,2011,B23025_005E
1913,20780,2011,B23025_005E
965,20820,2011,B23025_005E
1354,20900,2011,B23025_005E
11406,20940,2011,B23025_005E
1599,20980,2011,B23025_005E
5589,20020,2011,B23025_005E
1859,20060,2011,B23025_005E
6281,20100,2011,B23025_005E
1432,20140,2011,B23025_005E
3483,20180,2011,B23025_005E
2633,20220,2011,B23025_005E
11537,20260,2011,B23025_005E
580,20300,2011,B23025_005E
1309,20340,2011,B23025_005E
5435,20380,2011,B23025_005E
1748,20420,2011,B23025_005E
1432,20460,2011,B23025_005E
20562,20500,2011,B23025_005E
1486,20540,2011,B23025_005E
2613,20580,2011,B23025_005E
5554,20620,2011,B23025_005E
1302,20660,2011,B23025_005E
10101,20700,2011,B23025_005E
3490,21020,2011,B23025_005E
4219,21060,2011,B23025_005E
416,21120,2011,B23025_005E
10969,21140,2011,B23025_005E
1272,21220,2011,B23025_005E
1795,21260,2011,B23025_005E
2872,21300,2011,B23025_005E
25480,21340,2011,B23025_005E
1425,21380,2011,B23025_005E
1677,21420,2011,B23025_005E
3360,21460,2011,B23025_005E
11591,21500,2011,B23025_005E
1903,21540,2011,B23025_005E
2357,21580,2011,B23025_005E
1569,21640,2011,B23025_005E
18387,21660,2011,B23025_005E
6413,21700,2011,B23025_005E
650,21740,2011,B23025_005E
12728,21780,2011,B23025_005E
3278,21820,2011,B23025_005E
401,21860,2011,B23025_005E
1278,21900,2011,B23025_005E
5316,21940,2011,B23025_005E
1097,21980,2011,B23025_005E
5576,22020,2011,B23025_005E
18505,25860,2011,B23025_005E
8446,25900,2011,B23025_005E
7223,25940,2011,B23025_005E
3150,25980,2011,B23025_005E
2162,26020,2011,B23025_005E
11462,26100,2011,B23025_005E
7956,26140,2011,B23025_005E
25524,26180,2011,B23025_005E
665,26220,2011,B23025_005E
1523,26260,2011,B23025_005E
3792,26300,2011,B23025_005E
1587,26340,2011,B23025_005E
5184,26380,2011,B23025_005E
216088,26420,2011,B23025_005E
2497,26460,2011,B23025_005E
2441,26480,2011,B23025_005E
1550,26500,2011,B23025_005E
2218,26540,2011,B23025_005E
9813,26580,2011,B23025_005E
18396,26620,2011,B23025_005E
1080,26660,2011,B23025_005E
339,26700,2011,B23025_005E
1705,26740,2011,B23025_005E
1123,26780,2011,B23025_005E
3481,26820,2011,B23025_005E
3721,26860,2011,B23025_005E
76483,26900,2011,B23025_005E
2117,26940,2011,B23025_005E
3956,26980,2011,B23025_005E
1165,27020,2011,B23025_005E
3006,27060,2011,B23025_005E
8540,27100,2011,B23025_005E
21090,27140,2011,B23025_005E
6763,27180,2011,B23025_005E
1001,27220,2011,B23025_005E
65465,27260,2011,B23025_005E
1706,27300,2011,B23025_005E
6225,27340,2011,B23025_005E
1279,27380,2011,B23025_005E
244,27420,2011,B23025_005E
5312,27460,2011,B23025_005E
8037,27500,2011,B23025_005E
1476,27540,2011,B23025_005E
1711,27580,2011,B23025_005E
3741,27620,2011,B23025_005E
1189,27660,2011,B23025_005E
1196,27700,2011,B23025_005E
7113,27740,2011,B23025_005E
5103,27780,2011,B23025_005E
5561,27860,2011,B23025_005E
6791,27900,2011,B23025_005E
977,27940,2011,B23025_005E
6988,27980,2011,B23025_005E
2267,22060,2011,B23025_005E
2992,22100,2011,B23025_005E
3076,22140,2011,B23025_005E
18079,22180,2011,B23025_005E
14522,22220,2011,B23025_005E
1772,22260,2011,B23025_005E
4042,22280,2011,B23025_005E
3054,22300,2011,B23025_005E
1234,22340,2011,B23025_005E
5576,22380,2011,B23025_005E
29807,22420,2011,B23025_005E
11326,22500,2011,B23025_005E
5633,22520,2011,B23025_005E
3813,22540,2011,B23025_005E
3987,22580,2011,B23025_005E
1332,22620,2011,B23025_005E
13119,22660,2011,B23025_005E
